,year-month,year,total_violent_count,total_gun_poss_count,total_violent_arrests,total_gun_poss_arrests,vi_ar,gp_ar
0,2014-01,2014,1201,144,224,248,18.65,172.22
1,2014-02,2014,910,103,212,165,23.3,160.19
2,2014-03,2014,1091,167,242,252,22.18,150.9
3,2014-04,2014,1246,224,237,302,19.02,134.82
4,2014-05,2014,1460,266,321,383,21.99,143.98
5,2014-06,2014,1495,264,317,342,21.2,129.55
6,2014-07,2014,1538,283,316,366,20.55,129.33
7,2014-08,2014,1512,207,306,295,20.24,142.51
8,2014-09,2014,1498,191,306,261,20.43,136.65
9,2014-10,2014,1557,196,315,275,20.23,140.31
10,2014-11,2014,1275,168,229,228,17.96,135.71
11,2014-12,2014,1449,175,241,263,16.63,150.29
12,2015-01,2015,1262,192,233,281,18.46,146.35
13,2015-02,2015,826,134,200,204,24.21,152.24
14,2015-03,2015,1113,265,238,323,21.38,121.89
15,2015-04,2015,1211,225,247,313,20.4,139.11
16,2015-05,2015,1373,228,306,328,22.29,143.86
17,2015-06,2015,1382,246,253,321,18.31,130.49
18,2015-07,2015,1579,278,333,396,21.09,142.45
19,2015-08,2015,1567,252,273,331,17.42,131.35
20,2015-09,2015,1552,234,312,336,20.1,143.59
21,2015-10,2015,1532,220,239,295,15.6,134.09
22,2015-11,2015,1297,188,193,235,14.88,125.0
23,2015-12,2015,1518,133,209,205,13.77,154.14
24,2016-01,2016,1536,135,219,210,14.26,155.56
25,2016-02,2016,1231,157,205,218,16.65,138.85
26,2016-03,2016,1438,206,249,291,17.32,141.26
27,2016-04,2016,1392,232,240,324,17.24,139.66
28,2016-05,2016,1756,258,286,335,16.29,129.84
29,2016-06,2016,1676,263,285,358,17.0,136.12
30,2016-07,2016,1909,234,297,331,15.56,141.45
31,2016-08,2016,2034,238,266,306,13.08,128.57
32,2016-09,2016,1755,266,256,318,14.59,119.55
33,2016-10,2016,1918,232,247,284,12.88,122.41
34,2016-11,2016,1836,239,236,304,12.85,127.2
35,2016-12,2016,1633,229,190,314,11.64,137.12
36,2017-01,2017,1702,278,192,367,11.28,132.01
37,2017-02,2017,1319,292,204,382,15.47,130.82
38,2017-03,2017,1376,265,208,349,15.12,131.7
39,2017-04,2017,1530,321,249,425,16.27,132.4
40,2017-05,2017,1676,349,253,450,15.1,128.94
41,2017-06,2017,1731,367,265,438,15.31,119.35
42,2017-07,2017,1796,434,282,525,15.7,120.97
43,2017-08,2017,1892,379,274,468,14.48,123.48
44,2017-09,2017,1756,356,271,428,15.43,120.22
45,2017-10,2017,1823,297,251,390,13.77,131.31
46,2017-11,2017,1731,268,202,352,11.67,131.34
47,2017-12,2017,1614,300,184,385,11.4,128.33
48,2018-01,2018,1476,336,237,428,16.06,127.38
49,2018-02,2018,1161,230,184,305,15.85,132.61
50,2018-03,2018,1391,299,213,395,15.31,132.11
51,2018-04,2018,1320,310,207,398,15.68,128.39
52,2018-05,2018,1606,398,253,522,15.75,131.16
53,2018-06,2018,1615,396,235,511,14.55,129.04
54,2018-07,2018,1694,407,247,477,14.58,117.2
55,2018-08,2018,1686,397,274,494,16.25,124.43
56,2018-09,2018,1485,344,216,424,14.55,123.26
57,2018-10,2018,1538,325,227,403,14.76,124.0
58,2018-11,2018,1380,304,215,380,15.58,125.0
59,2018-12,2018,1436,333,193,435,13.44,130.63
60,2019-01,2019,1241,312,233,433,18.78,138.78
61,2019-02,2019,984,283,175,375,17.78,132.51
62,2019-03,2019,1093,364,202,458,18.48,125.82
63,2019-04,2019,1245,333,237,459,19.04,137.84
64,2019-05,2019,1368,468,256,572,18.71,122.22
65,2019-06,2019,1474,421,236,543,16.01,128.98
66,2019-07,2019,1531,509,260,639,16.98,125.54
67,2019-08,2019,1453,446,230,573,15.83,128.48
68,2019-09,2019,1298,388,189,497,14.56,128.09
69,2019-10,2019,1311,336,220,445,16.78,132.44
70,2019-11,2019,1206,317,191,424,15.84,133.75
71,2019-12,2019,1287,339,185,446,14.37,131.56
72,2020-01,2020,1269,340,220,469,17.34,137.94
73,2020-02,2020,1104,359,204,477,18.48,132.87
74,2020-03,2020,999,298,179,388,17.92,130.2
75,2020-04,2020,925,250,134,303,14.49,121.2
76,2020-05,2020,1252,536,193,619,15.42,115.49
77,2020-06,2020,1329,509,191,587,14.37,115.32
78,2020-07,2020,1510,539,216,618,14.3,114.66
79,2020-08,2020,1521,631,214,733,14.07,116.16
80,2020-09,2020,1400,510,202,601,14.43,117.84
81,2020-10,2020,1418,528,158,581,11.14,110.04
82,2020-11,2020,1305,502,145,567,11.11,112.95
83,2020-12,2020,1086,509,154,573,14.18,112.57
84,2021-01,2021,1258,467,152,546,12.08,116.92
85,2021-02,2021,962,342,128,413,13.31,120.76
86,2021-03,2021,1050,497,123,555,11.71,111.67
87,2021-04,2021,1116,533,181,608,16.22,114.07
88,2021-05,2021,1215,587,141,661,11.6,112.61
89,2021-06,2021,1369,630,159,691,11.61,109.68
90,2021-07,2021,1538,516,159,584,10.34,113.18
91,2021-08,2021,1450,447,151,497,10.41,111.19
92,2021-09,2021,1584,488,165,539,10.42,110.45
93,2021-10,2021,1558,429,151,485,9.69,113.05
94,2021-11,2021,1412,426,150,483,10.62,113.38
95,2021-12,2021,1513,341,147,410,9.72,120.23
96,2022-01,2022,1204,310,139,357,11.54,115.16
97,2022-02,2022,1101,394,141,446,12.81,113.2
